affiliate_id;created_at;date;updated_at;amount;status;type;fee_id
114;1979-12-01 00:00:00;1999-02-01 00:00:00;2005-11-16;2310;Pagado;cash;1
114;1999-03-01 00:00:00;2002-05-01 00:00:00;2005-11-16;780;Pagado;cash;1
114;2002-06-01 00:00:00;2007-08-01 00:00:00;2010-11-16;1260;Pagado;cash;1
114;2007-09-01 00:00:00;2010-09-01 00:00:00;2011-05-03;740;Pagado;cash;1
117;2002-01-01 00:00:00;2002-12-01 00:00:00;2002-03-20;120;Pagado;cash;1
117;2003-01-01 00:00:00;2003-10-01 00:00:00;2003-01-28;100;Pagado;cash;1
117;2003-11-01 00:00:00;2004-10-01 00:00:00;2004-02-05;120;Pagado;cash;1
117;2004-11-01 00:00:00;2005-03-01 00:00:00;2005-05-20;100;Pagado;cash;1
117;2005-04-01 00:00:00;2005-08-01 00:00:00;2005-07-25;100;Pagado;cash;1
120;1980-02-01 00:00:00;1999-02-01 00:00:00;2005-11-16;2290;Pagado;cash;1
120;1999-03-01 00:00:00;2005-11-01 00:00:00;2005-11-16;1620;Pagado;cash;1
121;2000-08-01 00:00:00;2001-10-01 00:00:00;2002-05-17;300;Pagado;cash;1
121;2001-11-01 00:00:00;2002-08-01 00:00:00;2002-07-23;200;Pagado;cash;1
121;2002-09-01 00:00:00;2002-12-01 00:00:00;2002-11-28;80;Pagado;cash;1
121;2003-01-01 00:00:00;2003-05-01 00:00:00;2003-05-12;100;Pagado;cash;1
121;2003-06-01 00:00:00;2003-06-01 00:00:00;2003-06-10;20;Pagado;cash;1
121;2003-07-01 00:00:00;2003-09-01 00:00:00;2003-09-11;60;Pagado;cash;1
121;2003-10-01 00:00:00;2003-12-01 00:00:00;2003-10-31;60;Pagado;cash;1
121;2004-01-01 00:00:00;2004-02-01 00:00:00;2003-12-24;40;Pagado;cash;1
121;2004-01-01 00:00:00;2004-03-01 00:00:00;2004-03-04;60;Pagado;cash;1
121;2005-03-01 00:00:00;2005-03-01 00:00:00;2005-04-12;20;Pagado;cash;1
121;2005-04-01 00:00:00;2005-04-01 00:00:00;2005-04-15;20;Pagado;cash;1
121;2005-05-01 00:00:00;2005-06-01 00:00:00;2005-05-18;40;Pagado;cash;1
121;2005-07-01 00:00:00;2005-09-01 00:00:00;2005-06-01;60;Pagado;cash;1
121;2005-10-01 00:00:00;2005-10-01 00:00:00;2005-06-21;20;Pagado;cash;1
121;2005-11-01 00:00:00;2005-11-01 00:00:00;2005-08-25;20;Pagado;cash;1
121;1999-03-01 00:00:00;2004-05-01 00:00:00;2005-11-16;1200;Pagado;cash;1
121;2003-12-01 00:00:00;2003-12-01 00:00:00;2005-12-13;20;Pagado;cash;1
121;2006-01-01 00:00:00;2006-10-01 00:00:00;2007-01-24;200;Pagado;cash;1
121;2006-11-01 00:00:00;2007-12-01 00:00:00;2007-12-26;280;Pagado;cash;1
121;2008-01-01 00:00:00;2008-10-01 00:00:00;2008-08-18;200;Pagado;cash;1
121;2008-11-01 00:00:00;2009-12-01 00:00:00;2009-12-11;280;Pagado;cash;1
121;2010-01-01 00:00:00;2010-01-01 00:00:00;2009-12-22;20;Pagado;cash;1
121;2010-02-01 00:00:00;2010-12-01 00:00:00;2010-12-17;220;Pagado;cash;1
121;2011-01-01 00:00:00;2013-12-01 00:00:00;2013-12-18;720;Pagado;cash;1
122;1999-10-01 00:00:00;2000-04-01 00:00:00;2002-03-13;140;Pagado;cash;1
122;2000-05-01 00:00:00;2001-02-01 00:00:00;2002-08-13;200;Pagado;cash;1
122;2001-03-01 00:00:00;2001-12-01 00:00:00;2003-04-21;200;Pagado;cash;1
122;2002-01-01 00:00:00;2002-10-01 00:00:00;2003-08-20;200;Pagado;cash;1
122;2002-11-01 00:00:00;2002-08-01 00:00:00;2003-09-12;200;Pagado;cash;1
122;2003-09-01 00:00:00;2003-09-01 00:00:00;2003-10-23;20;Pagado;cash;1
122;2003-10-01 00:00:00;2004-02-01 00:00:00;2004-03-23;100;Pagado;cash;1
122;2004-03-01 00:00:00;2004-07-01 00:00:00;2004-08-03;100;Pagado;cash;1
122;2004-08-01 00:00:00;2004-12-01 00:00:00;2005-08-03;100;Pagado;cash;1
122;2005-01-01 00:00:00;2005-12-01 00:00:00;2005-12-09;240;Pagado;cash;1
122;2006-01-01 00:00:00;2023-12-01 00:00:00;2024-03-22;4320;Pagado;cash;1
122;2024-01-01 00:00:00;2024-03-01 00:00:00;2024-03-22;90;Pagado;cash;1
123;1998-09-01 00:00:00;1999-02-01 00:00:00;2002-05-20;60;Pagado;cash;1
123;1999-03-01 00:00:00;1999-05-01 00:00:00;2002-05-30;60;Pagado;cash;1
123;1999-06-01 00:00:00;1999-08-01 00:00:00;2002-07-02;60;Pagado;cash;1
123;1999-09-01 00:00:00;1999-11-01 00:00:00;2002-10-05;60;Pagado;cash;1
123;1999-12-01 00:00:00;2000-02-01 00:00:00;2002-11-30;60;Pagado;cash;1
123;1999-12-01 00:00:00;2000-02-01 00:00:00;2002-12-21;60;Pagado;cash;1
123;2000-06-01 00:00:00;2001-03-01 00:00:00;2003-08-21;200;Pagado;cash;1
123;2001-04-01 00:00:00;2001-08-01 00:00:00;2003-08-27;100;Pagado;cash;1
123;2001-09-01 00:00:00;2002-06-01 00:00:00;2003-09-06;200;Pagado;cash;1
123;2002-07-01 00:00:00;2002-12-01 00:00:00;2003-09-11;100;Pagado;cash;1
123;2002-12-01 00:00:00;2003-04-01 00:00:00;2003-09-13;100;Pagado;cash;1
123;2003-05-01 00:00:00;2003-06-01 00:00:00;2003-09-19;123;Pagado;cash;1
123;2003-07-01 00:00:00;2003-09-01 00:00:00;2003-09-24;60;Pagado;cash;1
123;2003-10-01 00:00:00;2003-10-01 00:00:00;2003-12-12;20;Pagado;cash;1
123;2003-11-01 00:00:00;2003-11-01 00:00:00;2003-12-12;20;Pagado;cash;1
123;2003-12-01 00:00:00;2003-12-01 00:00:00;2004-03-05;20;Pagado;cash;1
123;2004-01-01 00:00:00;2004-01-01 00:00:00;2004-03-12;20;Pagado;cash;1
123;2004-03-01 00:00:00;2004-03-01 00:00:00;2004-07-30;20;Pagado;cash;1
123;2004-09-01 00:00:00;2004-12-01 00:00:00;2004-12-23;80;Pagado;cash;1
123;2005-01-01 00:00:00;2005-01-01 00:00:00;2005-07-21;20;Pagado;cash;1
123;2005-02-01 00:00:00;2005-05-01 00:00:00;2005-07-21;80;Pagado;cash;1
123;2005-06-01 00:00:00;2005-07-01 00:00:00;2005-07-30;40;Pagado;cash;1
123;2005-08-01 00:00:00;2005-10-01 00:00:00;2005-10-11;60;Pagado;cash;1
123;2005-11-01 00:00:00;2005-12-01 00:00:00;2005-12-09;40;Pagado;cash;1
123;2006-01-01 00:00:00;2006-06-01 00:00:00;2022-01-13;120;Pagado;cash;1
124;2001-12-01 00:00:00;2001-12-01 00:00:00;2002-01-28;20;Pagado;cash;1
124;1980-07-01 00:00:00;1999-02-01 00:00:00;2005-11-16;2240;Pagado;cash;1
124;1999-03-01 00:00:00;2004-05-01 00:00:00;2005-11-16;1260;Pagado;cash;1
124;2004-06-01 00:00:00;2008-10-01 00:00:00;2008-11-21;1060;Pagado;cash;1
124;2008-11-01 00:00:00;2009-08-01 00:00:00;2023-02-04;200;Pagado;cash;1
126;1982-02-01 00:00:00;2000-02-01 00:00:00;2013-08-22;4340;Pagado;cash;1
126;2000-03-01 00:00:00;2000-10-01 00:00:00;2013-08-22;160;Pagado;cash;1
127;2001-09-01 00:00:00;2002-03-01 00:00:00;2002-04-17;140;Pagado;cash;1
127;2002-04-01 00:00:00;2003-01-01 00:00:00;2003-09-01;200;Pagado;cash;1
127;2003-02-01 00:00:00;2003-08-01 00:00:00;2003-09-01;140;Pagado;cash;1
127;2007-06-01 00:00:00;2007-08-01 00:00:00;2007-11-27;60;Pagado;cash;1
127;2007-09-01 00:00:00;2007-11-01 00:00:00;2007-11-27;60;Pagado;cash;1
127;2009-01-01 00:00:00;2009-05-01 00:00:00;2011-05-05;100;Pagado;cash;1
128;1998-02-01 00:00:00;1999-05-01 00:00:00;2003-10-06;190;Pagado;cash;1
128;1999-06-01 00:00:00;2000-03-01 00:00:00;2003-11-06;200;Pagado;cash;1
128;2000-04-01 00:00:00;2001-01-01 00:00:00;2004-01-08;200;Pagado;cash;1
128;2001-02-01 00:00:00;2001-11-01 00:00:00;2004-02-06;200;Pagado;cash;1
128;2001-12-01 00:00:00;2002-04-01 00:00:00;2005-11-08;100;Pagado;cash;1
131;1982-06-01 00:00:00;1997-12-01 00:00:00;;1870;Pagado;cash;1
133;2001-12-01 00:00:00;2001-12-01 00:00:00;2002-01-28;20;Pagado;cash;1
133;1996-01-01 00:00:00;1999-02-01 00:00:00;;380;Pagado;cash;1
133;1999-03-01 00:00:00;2001-11-01 00:00:00;;660;Pagado;cash;1
133;2002-01-01 00:00:00;2002-03-01 00:00:00;;60;Pagado;cash;1
134;1993-10-01 00:00:00;1999-02-01 00:00:00;;650;Pagado;cash;1
134;1999-03-01 00:00:00;1999-11-01 00:00:00;;180;Pagado;cash;1
139;1985-08-01 00:00:00;1985-10-01 00:00:00;;390;Pagado;cash;1
141;2001-12-01 00:00:00;2001-12-01 00:00:00;2002-01-28;se le dejo sms;Pagado;cash;1
141;1999-03-01 00:00:00;2004-05-01 00:00:00;2005-11-16;1260;Pagado;cash;1
146;1982-07-01 00:00:00;1997-02-01 00:00:00;2005-11-16;1760;Pagado;cash;1
146;1997-02-01 00:00:00;1997-11-01 00:00:00;2024-11-04;200;Pagado;cash;1
147;2002-07-01 00:00:00;2002-12-01 00:00:00;2002-07-16;120;Pagado;cash;1
147;2003-07-01 00:00:00;2003-12-01 00:00:00;2003-07-10;120;Pagado;cash;1
147;2004-01-01 00:00:00;2004-06-01 00:00:00;2004-02-03;120;Pagado;cash;1
147;2005-07-01 00:00:00;2005-12-01 00:00:00;2005-08-03;120;Pagado;cash;1
147;2006-01-01 00:00:00;2006-06-01 00:00:00;2006-01-24;120;Pagado;cash;1
147;2006-07-01 00:00:00;2006-12-01 00:00:00;2006-07-27;120;Pagado;cash;1
147;2007-01-01 00:00:00;2007-06-01 00:00:00;2007-01-10;120;Pagado;cash;1
147;2007-01-01 00:00:00;2007-06-01 00:00:00;2007-01-11;120;Pagado;cash;1
147;2007-07-01 00:00:00;2007-12-01 00:00:00;2007-07-04;120;Pagado;cash;1
147;2008-01-01 00:00:00;2008-06-01 00:00:00;2008-02-25;120;Pagado;cash;1
147;2008-07-01 00:00:00;2008-12-01 00:00:00;2008-08-29;120;Pagado;cash;1
147;2009-01-01 00:00:00;2009-06-01 00:00:00;2009-01-21;120;Pagado;cash;1
147;2009-07-01 00:00:00;2009-12-01 00:00:00;2009-06-17;120;Pagado;cash;1
147;2010-01-01 00:00:00;2010-06-01 00:00:00;2010-02-08;120;Pagado;cash;1
147;2010-07-01 00:00:00;2010-12-01 00:00:00;2010-10-15;120;Pagado;cash;1
147;2011-01-01 00:00:00;2011-06-01 00:00:00;2011-02-22;120;Pagado;cash;1
147;2011-07-01 00:00:00;2011-12-01 00:00:00;2011-08-11;120;Pagado;cash;1
147;2012-01-01 00:00:00;2012-06-01 00:00:00;2012-02-07;120;Pagado;cash;1
147;2012-07-01 00:00:00;2012-12-01 00:00:00;2012-09-11;120;Pagado;cash;1
149;1987-01-01 00:00:00;1999-12-01 00:00:00;;1660;Pagado;cash;1
153;2001-12-01 00:00:00;2001-12-01 00:00:00;2002-01-28;20;Pagado;cash;1
153;2003-01-01 00:00:00;2008-11-01 00:00:00;2010-09-30;1420;Pagado;cash;1
156;1983-10-01 00:00:00;1987-11-01 00:00:00;2011-03-09;1000;Pagado;cash;1
158;1983-04-01 00:00:00;1999-03-01 00:00:00;2005-11-16;1930;Pagado;cash;1
159;1987-01-01 00:00:00;1999-07-01 00:00:00;;1560;Pagado;cash;1
161;2001-12-01 00:00:00;2001-12-01 00:00:00;2002-01-28;20;Pagado;cash;1
161;2004-06-01 00:00:00;2006-06-01 00:00:00;2022-09-30;500;Pagado;cash;1
161;2006-08-01 00:00:00;2007-05-01 00:00:00;2023-06-28;200;Pagado;cash;1
161;2007-06-01 00:00:00;2008-08-01 00:00:00;2023-09-26;300;Pagado;cash;1
162;2001-12-01 00:00:00;2001-12-01 00:00:00;2002-01-28;20;Pagado;cash;1
162;2002-06-01 00:00:00;2002-10-01 00:00:00;2003-02-06;100;Pagado;cash;1
162;2002-11-01 00:00:00;2003-03-01 00:00:00;2003-06-11;100;Pagado;cash;1
162;2002-11-01 00:00:00;2003-03-01 00:00:00;2005-11-16;100;Pagado;cash;1
163;1982-10-01 00:00:00;2000-03-01 00:00:00;2005-11-16;2230;Pagado;cash;1
